EXPOCODE,adjustment,inversion,inversion_full,preadjustment,uncertainties,offsets_preadj,offsets_preadj_u,offsets_post,offsets_post_u,numberofxovers,trends_pre,trends_adj,intercept_pre,intercept_post
06MT20091026,0.0,0.0,-0.7799091247503477,0.0,1.2822266628638765,0.6440231116198362,2.6569694460013475,0.6578224358174365,1.2822266628638765,5.0,0.0,0.0,1.0250523725558776,1.44035118271285
06MT20150501,-888.0,0.0,0.5602659794406392,0.0,0.7727390438176719,-1.0034432556658546,3.626402455162916,-0.5547220058718175,0.7727390438176719,3.0,0.0,0.0,-2.8429951057075358,-0.6338569252564532
096U20150321,-888.0,0.0,0.0,0.0,2.251468234345953,-0.8676779600784263,2.251468234345953,-0.8676779600784263,2.251468234345953,7.0,0.3216690019017231,0.26912032689378373,-1.6799925400383808,-1.6103192874598764
096U20160426,0.0,0.0,0.41316761908481076,0.0,0.616147006347966,0.1549676674032013,0.6912677686712009,0.050482518325312614,0.616147006347966,14.0,0.0,0.0,0.622033992907557,0.8384032819643034
096U20180111,0.0,0.0,1.5194232047777576,0.0,0.36655242408397126,-1.8123613812420931,0.4741058886815328,-1.8128821168873588,0.36655242408397126,14.0,0.2309821932027574,0.19617095662901857,-2.0963253124688506,-1.8957120362783118
09AR19930404,0.0,0.0,-1.2171493644903635,0.0,0.6599754662882499,1.2883076334055905,0.6599754662882499,1.2883076334055905,0.6599754662882499,6.0,0.19790265028191273,0.19607223481736502,1.345033245603631,1.433407501718985
09AR19940101,0.0,0.0,0.6270049601673056,0.0,0.3672601921889518,-0.3513965020903245,0.39824031625769185,-0.40434074583387253,0.3672601921889518,21.0,0.17673559729645869,0.14150576256462968,0.06531177976798543,0.12612880434788196
09AR19941213,0.0,0.0,0.6867215280271789,0.0,0.46178813300826993,-0.4808490249367592,0.4840807129859288,-0.7116273522788786,0.46178813300826993,17.0,0.17556406906823865,0.15793670487245562,-0.45124131635965975,-0.6660810239592004
09AR19960822,0.0,0.0,1.8470653422512422,0.0,0.2698210447689187,-1.8375166706493358,0.41482927614588,-1.8543531276924492,0.2698210447689187,13.0,0.1820808148331037,0.18814668373759547,-1.9752860022164964,-1.9789559976123687
09AR19980228,0.0,0.0,-0.8762202632906145,0.0,1.1747028055201347,0.9273761324878969,1.1747028055201347,0.9273761324878969,1.1747028055201347,8.0,0.2269137371756634,0.2673458447449702,0.21835702802735044,0.12789162064089488
09AR20011029,0.0,0.0,-0.47806624107020984,0.0,0.40786224931871135,0.47932314948387844,0.49993277760269605,0.5757008625526946,0.40786224931871135,14.0,0.20418043201638253,0.1991976477939361,0.5311424433518266,0.5699201605639791
09AR20041223,0.0,0.0,0.6891607839916181,0.0,0.6505931794595503,-1.0651165081357936,0.8521506642219349,-0.9163965063520113,0.6505931794595503,11.0,0.0,0.0,-0.8788090072550856,-0.5011768182846734
