Adjustments,expocode
0.123746536942913,18DD20190602
-0,18EN19850212
-0.315697024927493,18EN19870330
-0,18EN19870717
-0,18EN19911017
-0,18EN19920326
-0,18HU19930405
7.19736836022001,18HU19931105
7.88966912973633,18HU19941012
10.7784084520371,18HU19950419
-0,18HU20130507
-0,18HU20140502
-0,18HU20150504
-0,18LU20000705
-0,18LU20080702
-0,18LU20090710
-0.199589741138844,18LU20180218
-0,18PZ19850429
-0,18PZ19850811
-0,18PZ19860711
-0,18PZ19861014
-0,18PZ19870923
-0,18PZ19871124
-3.01619590613574,18PZ19880502
-2.69317166883112,18PZ19880628
3.62582561253673,18PZ19881129
0.445467946149343,18PZ19890501
-0,18PZ19891003
-1.52190656425659,18PZ19900509
-2.41989766165541,18PZ19900822
-0,18PZ19910428
-0,18VT20030902
-0,18VT20031201
-0,18VT20100403
-0,18VT20100805
-0,18VT20101029
-0,18VT20110404
-0,18VT20110805
-0,18VT20110909
-0,18VT20111124
-0,18VT20120401
-0,18VT20120405
-0,18VT20120613
-0,18VT20120714
-0,18VT20120919
-0,18VT20141027
-0,18VT20150401
-0,20HZ20151205
-0,20HZ20151227
-0,20HZ20180203
-0,21OR19901011
-0,21OR19910626
-0,21OR19910708
-0,21OR20080102
-0,29AH20090725
-0,29AH20110128
-0,29AH20120623
-0,29AH20140804
-0,29AH20160617
4.29693622133315,29AH20200708
-0,29CS19771007
-0,29CS19930510
-0,29GD19821110
-0,29GD19831201
-0,29GD19840218
-0,29GD19840711
-0,29GD19860904
-0,29GD20120910
2.72740306331449,29HE19920714
-0,29HE19951203
-0,29HE19960117
4.75804705029984,29HE19980730
-0,29HE20010305
-0,29HE20020304
-0,29HE20030408
-0,29HE20081006
-0,29HE20100208
-0,29HE20100405
-0,29HE20130320
-0,29HE20190406
-0,29RM20150730
-0,29RM20160815
0.218257591698028,29RM20180818
0.133931307661906,29RM20190818
-4.64912512069298,29RM20210814
-0,29RM20220614
-0,29RM20230704
-0,316G20120202
-0,316N19720907
5.17501198379241,316N19721011
4.10888734942751,316N19721105
5.47072693591265,316N19721204
3.04579771871379,316N19721231
1.30575376257777,316N19730211
-1.61343217793667,316N19730312
-0,316N19810401
-0,316N19810416
-0,316N19810516
-0,316N19810619
-0,316N19810923
-0,316N19821201
-0,316N19821229
-0,316N19830130
12.7868266271184,316N19831007
-0,316N19831113
2.25782616018944,316N19840111
-3.34981066630664,316N19840203
-0,316N19860424
3.47968924224539,316N19871123
-3.5735657778827,316N19871218
13.3044369277548,316N19880129
0.69046216357091,316N19920502
1.5838672640551,316N19920530
2.46985256751453,316N19920713
-0,316N19920901
4.31087333368326,316N19921006
3.99366301370495,316N19921204
1.50199637103814,316N19930222
4.32893269780439,316N19940403
3.25495803927214,316N19941201
2.05792896485259,316N19950124
1.80833031417663,316N19950310
1.65804513520434,316N19950423
1.05320496208662,316N19950611
0.867686866218012,316N19950715
2.39351878036628,316N19950829
0.420428620945621,316N19950930
2.39367239333354,316N19951111
3.43689620804871,316N19951202
4.78800528571723,316N19951230
4.9810293007885,316N19961102
4.26509860507041,316N19970530
5.94316316531799,316N19970717
6.42906300317553,316N19970815
4.53721907614454,316N19971005
4.26328060552756,316N20030922
5.84753712853264,316N20031023
0.595938731202985,316N20050821
-0,316N20060130
-0,316N20070207
-0,316N20090614
-0,316N20101015
-0,316N20111106
-0,317W20130803
-0.70513972856274,318M19730822
-0,318M19730915
-2.03093490591162,318M19731007
-0,318M19731031
-1.42870545714042,318M19731204
-6.4271817874885,318M19740102
-0,318M19740205
1.54274537950525,318M19740313
-0,318M19740412
-0,318M19740513
-0,318M19771204
4.47787543174976,318M19771216
-0,318M19780128
0.97038629874787,318M19780307
0.444951102250671,318M19780404
10.8100146704114,318M19881207
8.37941671654919,318M19890123
7.12360815355802,318M19890313
-1.36618440658314,318M19940327
2.03831565117583,318M19940519
-0,318M19991029
-0.486712649800983,318M20040615
1.64855907888398,318M20091121
1.43367198975678,318M20100105
0.0725531432902355,318M20130321
-0,31AN19810612
1.77954623266597,31AN19890420
-0,31DS19910216
3.61386888394244,31DS19910307
-0,31DS19920907
3.23538326340506,31DS19940126
3.4730279307131,31DS19960105
-0,31FN20090924
-0,31OC19870606
-0,31WT19840504
-0,31WT19841001
1.78136171784043,31WT19910531
0.968056120742864,31WT19910716
-0.469705473662703,31WT19910831
-0,320619940214
1.59093959636416,320619960503
-0,320619960830
-0,320619970113
-0,320619970404
-0,320620000215
-0,320620030705
-0,320620070203
1.63288944532523,320620110219
-0.318508036922689,320620140320
-0,320620151206
-0.0934488848829029,320620170703
-0.582730204958636,320620170820
-1.20509840616452,320620180309
-0.917300982149974,322019920816
3.89865808183622,323019940104
-0,325019850330
-0,325019850504
-0,325019850804
-2.20189846344183,325019930515
-2.79022065268993,325019930705
-1.56070200212945,325019931005
0.95168194814091,325019940125
4.2104964917794,325019971101
-0,325020040424
-1.1685582065375,325020060213
0.806276875453763,325020080826
-0,325020100509
-0,325020131025
1.09373218855951,325020190403
-0.679261589357432,325020210316
-0.334307015735868,325020210420
-0,32H120020505
-0,32H120020718
-0,32H120040515
-0,32H120040718
-0,32L919940204
-0,32MW19890206
-0,32MW19890309
-0,32MW19890402
-0,32NM19800810
-0,32OC19830501
-0,32OC19880723
-0,32OC19950529
-0,32OC20080510
-3.07925320563528,32PO20130821
-2.47017887614437,32WC20070511
-0.359542071956938,32WC20110812
-0,332220120904
-0,332220170918
-0,334A20140510
-0,334B20121026
-0,334B20141103
-0,334B20160807
-0,334B20161018
-0,33AT20060118
4.52302366676589,33AT20120324
4.55157791465312,33AT20120419
-0,33FA20180624
-0,33GG20130609
-0,33GG20131113
-0,33GG20150619
-0,33GG20151012
-0,33GG20160521
-0,33GG20170516
-0,33GG20170610
-0,33GG20171031
-0,33GG20180822
-0,33H520181102
-0,33HH20120531
-0,33HH20150519
-0,33HH20170211
-0,33HH20180523
-0,33HH20180625
-0,33HQ20080329
-0,33HQ20080703
-0,33HQ20090403
-0,33HQ20150809
-0,33HQ20170826
-0,33HQ20180807
-0,33HQ20190806
-0,33KB20020923
3.95518925543454,33LG20060321
6.86902890342757,33LG20090916
10.9891939423388,33LK19960415
5.28964311482547,33MW19900222
3.67205345406126,33MW19910711
1.88873746741601,33MW19920224
5.28200427203902,33MW19930704
5.36421634067525,33MW19930802
3.27755706475613,33MW19950922
4.6058517534788,33RO19980123
5.22227207835515,33RO20030604
3.85532846803109,33RO20050111
4.86930356165538,33RO20070710
2.11625535915928,33RO20071215
3.56889877357274,33RO20100308
2.94501439433668,33RO20110926
1.67538831212834,33RO20120721
1.89949877559043,33RO20130803
1.82418642005306,33RO20131223
0.265663884564986,33RO20150410
0.346702582494312,33RO20150525
-0,33RO20150713
-0.510192397073618,33RO20160505
1.96450098254307,33RO20161119
3.10566103001932,33RO20170718
3.36930652975116,33RO20180423
-1.49734467288229,33RO20210613
-0,33RO20220806
-2.07924452771954,33RR19971020
0.829406060154025,33RR19971202
-0.193807068335197,33RR20050109
-0,33RR20050617
2.99505067255719,33RR20070204
2.83609026018159,33RR20070322
2.52763418942347,33RR20080204
1.56181164600946,33RR20090320
1.40414436774248,33RR20160208
0.412618007548413,33RR20160321
0.609453698720893,33RR20230722
-0,33SW20030418
-0,33WA20141201
-0,33WA20150921
-0,35A319930102
-0,35A319930213
-0,35A319940923
6.75438163425188,35A319950113
6.67665127400328,35A319950221
-0,35A320010203
-0,35A320010322
-0,35A320030412
15.9249540798368,35A320031214
-0,35A320080223
-0,35A320120628
9.44652308121092,35A320150218
-0,35A820050607
-0,35LU19890509
-0,35LU19950909
-0,35MF19820626
-0,35MF19821003
-6.2879238165653,35MF19850224
-4.68362412651449,35MF19860401
2.48397418080415,35MF19870114
-9.72532370473345,35MF19890730
-0,35MF19920217
0.0606760704947557,35MF19930123
0.76848537057132,35MF19960220
-0,35MF19980121
-0,35MF19980818
-0,35MF19981205
-0,35MF19990104
-0,35MF20000117
-0,35MF20000719
-0,35MF20010103
-0,35MF20020104
-0,35MF20040103
-0,35MF20050111
4.54638951638215,35MF20080207
-0,35MF20090103
-0,35MF20091219
-0,35MF20110114
-0,35PK20140515
10.6584716433281,35TH19990712
-0,35TH20000724
-0,35TH20010823
-0,35TH20020611
-0,35TH20040604
-0,35TH20050604
-0,35TH20080610
-0,35TH20100608
-0,35TH20180611
-0,35UCKERFIXTS
-0,41SS19940301
-0,42BJ19930808
-0,42BJ19940128
-0,42BR19961121
-0,42BR19980219
-0,45CE20130105
0.34819244247733,45CE20170427
-0,492S19931014
-0,492S19941101
-0,49EW19940115
-0,49EW19981003
-0,49EW19991007
-0,49EW20001006
-0,49FA20000509
-0,49H519960509
-0,49H520010113
-0,49H520010508
-0,49H520020510
-0,49H520021001
-0,49H520030115
-0,49H520030609
-0,49H520030701
-1.77136873333939,49H520060510
-2.12641620318425,49H520060715
-0,49H520070123
-0,49H520070508
-4.4508234204378,49HG19920807
2.42363180117772,49HG19930413
-1.59792519951072,49HG19930807
5.28652297007628,49HG19940413
-1.22648662421408,49HG19940808
-0,49HG19950414
0.269992533463693,49HG19950807
-0,49HG19960412
-2.61583507471797,49HG19960807
-4.16540563425149,49HG19971110
-4.54234516563174,49HG19980812
-2.50460749607439,49HG19990804
-5.81108806845935,49HG20000912
6.83729989527029,49HG20010813
-0,49HH19910813
-0,49HH19910917
-0,49HH19930513
6.45304528818748,49HH19941213
-0,49HH20011127
-0,49HH20030930
-0,49HH20091106
-0,49HO19920620
-0,49HO19950615
-0,49HO19970602
-0,49HO19970711
-2.12301170118452,49HO19980601
-1.32044967002449,49HO19980622
-1.50372638075826,49HO19980718
-0.730299223097876,49HO19990601
-0.650673623159496,49HO19990622
3.21307084400975,49HO19990719
1.43215936241209,49HO20000601
-0.654006932899852,49HO20000621
-0.787252617530918,49HO20000729
1.27714919295036,49HO20010604
-1.37599556152961,49HO20010710
-2.85847463505081,49K619940107
-0,49K619960620
-0.80213033164652,49K619990523
-0,49NB20030705
-0,49NB20040519
-1.19554858623866,49NZ19971111
-0.923201286865618,49NZ19981030
1.98686747688869,49NZ19981229
1.3391977523304,49NZ19990508
-2.65205778012063,49NZ19990823
-0,49NZ19991013
-0.518603220935651,49NZ19991121
-0.757047772081478,49NZ20000105
-0,49NZ20000509
-0,49NZ20000803
-1.468264255953,49NZ20001227
-3.11967329811248,49NZ20010604
-3.00814310648668,49NZ20010723
-0,49NZ20010828
-0,49NZ20020107
-0,49NZ20020822
-0.51411714583869,49NZ20021011
-0,49NZ20021113
-0,49NZ20021217
-1.12197138502365,49NZ20030220
-0,49NZ20030521
1.38076128163683,49NZ20030803
0.0561651768088418,49NZ20030909
2.99481921286621,49NZ20031106
1.81228924582676,49NZ20031209
-1.0681596511013,49NZ20040327
-1.82350620404476,49NZ20040807
-2.00197774915896,49NZ20041013
-1.67535841443634,49NZ20041117
-1.50384188348713,49NZ20050228
-1.59640746062267,49NZ20050525
-1.29456989417327,49NZ20050913
-1.29649771740009,49NZ20051031
-0.478822514185425,49NZ20051127
-0,49NZ20060120
-0.868560188307113,49NZ20060526
-0,49NZ20060801
-0,49NZ20060821
-2.19685808300743,49NZ20070216
-1.94750871880929,49NZ20070724
-3.00457221482903,49NZ20070904
-1.97902746769131,49NZ20071008
0.760913437772132,49NZ20071122
-0,49NZ20080815
-3.00630057216185,49NZ20081011
-1.59412158098393,49NZ20090410
0.583829821129962,49NZ20090521
-0,49NZ20100902
-0,49NZ20120903
-1.17634068143992,49NZ20121128
1.23784374979502,49NZ20130106
-0,49NZ20130828
-3.08039872353367,49NZ20140709
-2.72193002064104,49NZ20140717
-0,49NZ20140831
-0,49NZ20150824
-1.3665886950489,49NZ20151223
-0,49NZ20160822
-2.74115647128505,49NZ20170208
-0,49NZ20170823
-0,49NZ20190927
-0.646471552610718,49NZ20191205
0.0866417263705414,49NZ20191229
-0,49NZ20200919
-5.05800804492269,49NZ20210713
-0,49NZ20210831
0.531386131056612,49OS19930611
-0,49OS20020606
-0,49OS20030311
-0,49OS20030510
-0,49OS20030603
-0,49OS20030811
-0,49RY19920210
-1.91250354334552,49RY19940707
-0,49RY19951115
-0.911919078637918,49RY20110515
-4.01515253736535,49RY20120726
3.34070044758694,49SH20081021
-0,49SO19970113
-0,49SO19970509
-0,49SO19970820
-0,49SO19980414
-0,49SU19980422
-0,49SU19980709
-0,49SU19980819
